Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
No,No,Si,10,Si,10,10,Si,10,Si,Il *** è sempre disponibile e soprattutto affidabile veloce e competente nel risolvere qualsiasi problema. Devo invece informarvi che chiamando al telefono il centralino prende nota ma poi non si viene più richiamati malgrado diversi solleciti.
Si,No,No,10,,10,10,Si,10,Si,Ottima professionalità e gentilezza da parte del personale . Lo consiglio
No,Si,No,9,,9,9,,9,Si,"La casa madre BMW Italia purtroppo in periodo feriale,non ha supportato in modo ottimale il lavoro del concessionario che la rappresenta,ritardando in modo eccessivo,la consegna del pezzo di ricambio relativo alla vostra campagna di sicurezza ***"
No,No,Si,9,Si,10,10,Si,10,Si,Ottime capacità organizzative Ragazzi sempre disponibili e competenti nelle loro mansioni
No,Si,Si,1,No,9,9,Si,1,No,"Richiamo per sostituire airbag tutto ok,avevo la spia batteria accesa che solitamente indica un problema all alternatore,mi è stata sostituita la batteria ma il problema si è ripresentato dopo circa 20 minuti di viaggio,sono tornato in BMW Autotorino e mi"
Si,No,No,10,,10,10,Si,10,Si,Continuate così.
Si,No,No,1,,1,6,No,5,No,"Buona sera, sono stato truffato da auto Torino  Olgiate Olona dove mi è stato venduto un pacchetto per le manutenzioni e alla volta successiva di fare il tagliando ha detto che il pacchetto era scaduto dopo avermi fatto spendere 900 € di pacchetto e ho do"
Si,No,No,9,,2,9,No,3,No,"Appuntamento alle ore 15 per un cambio pastiglie posteriori Countryman, arrivo alle 14,50 chiedo all’accettazione dove devo andare mi dice la signora, aspetti in saletta che la chiama il collega! Alle 15,20 vado a chiedere come mai il ritardo , mi guarda"
Si,No,No,1,,1,1,No,1,No,511€ per un cambio olio per una vettura che ha percorso 7000km sono una follia..Vevo chiesto un preventivo prima di portare la macchina in concessionaria..Mai pervenuto
No,No,Si,2,No,2,2,Si,2,No,"Pessima esperienza,dopo 3 mesi di officina non sono stati in grado di riparare la mia macchina ,ho dovuto chiamare un Carroattrezzi e farla portare in un’altra officina che dopo solo 2 ore la macchina funzionava perfettamente .Adesso giudicate voi."
Si,No,No,10,,10,10,No,10,Si,"Servizio auto sostitutiva pessimo. Richiesta classe A, ricevuta smart for four."
Si,No,No,10,,10,10,Si,10,Si,Consulenti tecnici molto gentili e professionali.
No,Si,No,2,,2,2,,4,No,Centro di assistenza telefonica fornisce indicazioni errate sia sulle procedure che sulle officine di assistanza autorizzate.(Fissati 2 appuntamenti) Il centro di assistenza di officina ha un sistema non efficace (fallimentare) Accettazione della macchina
No,No,Si,4,Si,10,10,Si,10,No,Penso che i prezzi proposti siano esorbitanti! Dal meccanico di fiducia spenderò 1/3 rispetto al vs preventivo.
Si,No,No,10,,10,10,Si,10,Si,Autotorino di Trezzano sempre gentilissimo e professionale. Grazie!
Si,No,No,10,,10,10,Si,10,Si,Le persone come *** e *** sono le ragioni  perchè  continuo a restare cliente Bmw …
No,No,Si,10,Si,10,10,Si,10,Si,Purtroppo è impossibile raggiungervi con i mezzi pubblici e quindi la consegna/ritiro deve avvenire con un accompagnatore. Sarebbe utile un servizio di car valet verso la stazione metropolitana più vicina se non fosse disponibile l’auto sostitutiva.
No,Si,No,4,,8,4,,4,Si,Troppa attesa x un semplice intervento senza valutare un preventivo precedentemente concordato.
No,No,Si,4,No,6,6,Si,4,No,"Buongiorno, scollamento evidente fra le varie articolazioni deputate alla ricezione dell'esigenza, alla gestione ed alla individuazione della problematica per poi proporre idonee e pertinenti soluzioni."
No,Si,No,10,,10,10,,10,No,"purtroppo il cliente di Roma era abituato ad altro ed è chiaro che siamo di fronte ad un rapporto con il cliente totalmente diverso. Il personale è professionale e preparato. *** è una certezza. Secondo me, bisognerebbe trovare il giusto mix tra il"
No,No,Si,10,Si,10,10,No,10,Si,Esperienza positiva.
Si,No,No,8,,10,10,Si,4,No,"Ho registrato un calo generale, rispetto a quanto riscontrato l'anno precedente all'atto della consegna dell'auto per il periodico tagliando. Mi riferisco all'accoglienza ed ai costi d'intervento che, non corrispondono tra quelli esposti nel banco"" accett"
Si,No,No,10,,10,10,No,10,Si,Non ho suggerimenti per quanto riguarda il preventivo non mi è stato dato in quanto ho fatto al momento dell' acquisto della vettura il contratto manutenzione. Personale molto gentile e sempre disponibile nel risolvere eventuali mie difficoltà
Si,No,No,10,,10,10,Si,10,Si,Forse i prezzi dei materiali non sono proprio economici .... ma per il servizio direi che è al top.
No,No,No,10,,10,10,,10,Si,Nulla
Si,No,No,9,,9,9,No,9,No,"Non ho dato 10 perché ho dovuto aspettare 40 minuti.Se si da appuntamento ad un orario,bisogna rispettarlo."
Si,No,No,10,,10,10,Si,10,Si,"Ho conosciuto *** , gentile e disponibile , visto che abito a 60 km dalla concessionaria chiedo se è possibile gestire appuntamento in modo diverso , magari approfittando delle vostre trasferte per trasportare la moto e fare tutto con calma durante i"
Si,No,No,9,,9,9,No,9,Si,Tutto 👌
No,No,Si,9,No,9,10,Si,10,No,Un pezzo comune non era in casa e sono dovuto tornare
Si,No,No,5,,9,9,No,9,No,Sistematemi la radio o faccio un casino incredibile
No,No,Si,10,Si,10,10,No,10,Si,Congratulazioni per la preparazione e professionalità all'accoglienza del Sig. ***
Si,No,No,9,,9,9,No,9,Si,L'intervento ha riguardato solo la revisione ministeriale.
No,Si,No,9,,9,9,,9,No,Cordialità
Si,No,No,10,,10,10,Si,10,Si,Siete straordinari gentilezza e cortesia mai trovata
Si,Si,No,9,,10,9,Si,9,Si,Il costo è un pò elevato. Inoltre io inserirei nel tagliando l'inversione delle gomme come default
Si,No,No,10,,10,10,Si,10,Si,Grazie per la cordialità e professionalità.
No,Si,No,9,,9,9,,9,No,"Bravi, gentili, ma dieci non si da a nessuno."
Si,No,No,9,,9,9,No,9,No,"Servizio di prenotazione tramite app facile ed intuitivo, buona l'accoglienza in concessionaria, mancata fornitura del preventivo di spesa, fuorviante quanto comunicato via mail circa il costo dei lavori aggiuntivi richiesti (sostituzione spazzole tergicr"
Si,No,No,10,,10,10,Si,10,Si,Tutto a posto e tutto come previsto/concordato
No,Si,No,10,,10,10,,10,Si,Consiglio a tutti di guidare una BMW. COME PROFESSIONALE:CENTO DIECI LODE .
No,No,Si,10,Si,10,10,Si,9,Si,Faccio presente che ho portato più volte in concessionaria la vettura per il display centrale difettoso
No,No,Si,10,Si,10,10,No,10,Si,GRANDE PROFESSIONALITA’ DELLA CONSULENTE SERVICE SIG.RA *** ***.
No,Si,No,9,,9,9,,9,Si,Nessuno
Si,No,No,10,,10,10,No,10,Si,Il ritardo di 40' in accettazione è'stato sanato dalla gentilezza e dalle scuse che mi sono state più volte porte dall'addetto. Spero che non accada la prossima volta. Per il momento mi sembra un'esperienza positiva.
Si,No,No,8,,8,4,No,8,No,"Imparagonabile differenza ""globale"" con i purtroppo dismessi centri Mercedes di Agricoltura e Caravaggio dopo 15anni di varie Smart di cui 3 Brabus! Ritirata vettura, lavata si, ma ""bollente"" perche' infuocata sarebbe stato un eufemismo. Difficolta' infin"
Si,No,No,10,,10,10,Si,8,Si,Di essere più alla porta dei poveri comuni operai
Si,No,No,4,,10,8,Si,4,No,"A78 euro+iva come si fa a raccomandare a qualche amico ,dove noi in sala operatoria lavoriamo in libera professione a 38 euro lordi.fate voi un esame la differenza fra le varie professionalità."
No,No,Si,8,Si,10,10,No,8,Si,"Mancanza di comunicazione con il cliente, feedback di riparazione o preventivo almeno nel arco d 5 gg lavoarativi e non 10."
Si,No,No,10,,10,10,Si,10,Si,Tutto perfetto come sempre! Grazie!
No,No,Si,10,Si,10,10,Si,10,Si,Apertura officina il sabato mattina.
No,Si,No,10,,10,10,,10,Si,Capo officina disponibile competente
Si,No,No,10,,10,10,Si,10,Si,Sempre gentilissimi e precisi
Si,No,No,10,,10,10,No,9,Si,"Al di là della cortesia e professionalità dimostrate la cosa che mi ha lasciato un po’ perplesso è il costo del tagliando effettuato (540 Euro). Per una vettura di 2 anni e senza nessun problema mi sembra un po’ eccessivo.,"
Si,No,No,9,,10,10,Si,10,Si,"Unica nota negativa: ho prenotato anche la revisione del veicolo ma non mi è stato detto che avrei dovuto lasciare la macchina per 24 ore, l’ho lasciata comunque ma mi ha creato disagio"
Si,No,Si,10,Si,10,10,Si,8,Si,Costi alti di gestione
No,No,Si,8,No,9,9,Si,8,No,"Pezzi di ricambio troppo alti per una Yaris del 2003, superiori al valore dell'auto. Probabilmente sono sotto personale e non si passano le consegne. L'auto era stata portata per spia avaria gialla e faticava in accelerazione. Nella prima telefonata mi è"
No,No,Si,7,No,9,8,Si,6,-,"Per la riparazione ho aspettato più di un mese, a causa di pezzi mancanti. Mi hanno aiutato fornendomi dopo un primo periodo (2 settimane) una vettura sostitutiva, ma l'attesa è stata troppo elevata. Costo di intervento importante, ho richiesto di compens"
Si,No,No,10,,10,10,Si,10,Si,"Ottima accoglienza, lavoro veloce, grande professionalità"
Si,No,No,10,,10,10,Si,7,No,Ritengo il costo della manodopera per una operazione di rabbocco e di routine estremamente onerosa
No,Si,No,1,,9,1,,1,No,Dal 22 luglio che dovevate sostituire EGR mi avevate detto che dovevo lasciare la macchina lì tutto il giorno così ho fatto prendendo la macchina di cortesia.al mio ritorno mi avete detto che avete fatto solo l'aggiornamento..oltre aver perso l'intera gio
Si,No,No,7,,8,10,Si,7,Si,IL PARCHEGGIO INTERNO E'SEMPRE TROPPO AFFOLLATO. NON SO SE POTETE RISOLVERE OL PROBLEMA.
No,Si,Si,5,No,7,9,No,5,No,Intervento su Aveger BEV….. ANOMALIA TRAZIONE ELETTRICA…problema non risolto si ripresenta pari pari percorsi 500 metti dalla sede del Concessionario…. Perdita di 2 ore richiesto intervento carro attrezzi veicolo completamente bloccato per la seconda volt
No,No,Si,10,Si,10,10,Si,10,Si,Xxx
Si,No,No,10,,10,10,No,9,Si,"Sono stati come sempre puntuali, velocissimi nella lavorazione e mi hanno fornito utili informazioni"
Si,No,No,2,,7,9,Si,6,No,"Dopo 40 anni di diverse auto bmw possedute con soddisfazione sentirsi sollecitare quattro volte una fattura di 500,0 € pagata 24 ore ore dopo la consegna l’ho percepito come un gesto umiliante! Credo dobbiate rivedere qualcosa nel rapporto con clienti aff"
Si,No,No,9,,9,9,No,9,No,Al momento della presa in carico in concessionaria non è stato chiesto se la macchina avesse avuto o avesse problemi da segnalare. Forse si è dato per scontato che se il cliente non segnala nulla significa che sia tutto a posto. Personalmente credo si più
No,Si,No,9,,9,10,,9,No,"Non ancora essendo la prima volta, ma se i presupposti sono questi non ci saranno problemi nel dare un 10."
No,Si,No,7,,6,9,,9,No,"Scarsa comunicazione tra colleghi. Le segnalazioni di un problema che ho comunicato, non è stato riportato correttamente. Mi hanno sostituito per sbaglio,le guarnizioni delle portiere anteriori, invece delle fasce adesive delle portiere anteriori. Pretend"
Si,No,No,10,,10,10,Si,9,Si,Io *** ho portato la miajeppp Compas per il tagliando annuale però ritengo che l'importo che ho versato mi sembra caro perché faccio ogni anno circa 5000 kM poi chiedo se è  necessario ogni anno questa manutenzione ringraziando porgo cordiali
Si,No,No,10,,10,10,Si,10,Si,Complimenti ottimo
Si,No,No,4,,10,10,Si,6,No,IL TAGLIANDO PROGRAMMATO ERA DI TIPO B ED E' STATO REGOLARMENTE ESEGUITO. LA PERCORRENZA DALLA DATA D'ACQUISTO E' STATA DI POCO SUPERIORE AI 12.000 KM. IL GIUDIZIO NEGATIVO E' DOVUTO AL FATTO CHE ANCHE IN QUESTA OCCASIONE HO EVIDENZIATO LA PROBLEMATICA CH
Si,No,No,9,,9,9,Si,9,No,nessuno
Si,No,No,10,,10,10,Si,10,Si,Personale molto preparato e informato
Si,No,No,6,,8,4,Si,10,No,Per prenotare questo tagliando ci sono voluti giorni e giorni di telefonate mai risposte …questa cosa mi ha messo molto in difficoltà
Si,No,No,10,,10,10,Si,10,Si,Bravissimi!
Si,No,No,10,,10,10,Si,10,Si,Continuate così!
Si,No,Si,10,Si,10,10,Si,10,Si,Complimenti per la professionalità e disponibilità
Si,No,No,10,,10,10,Si,9,Si,Niente di particolare da segnalare
Si,No,No,10,,10,10,Si,10,Si,Massima disponibilità del personale.
Si,No,No,10,,9,10,Si,10,Si,Complimenti x la serietà ed il servizio grazie
Si,No,No,10,,10,10,Si,10,Si,Tutto perfetto
Si,No,No,2,,2,6,No,2,No,"Buongiorno,per cominciare due ore per la sostituzione delle pastiglie anteriori mi sembra eccessivo,per non parlare delle 400 € spese per un pezzo che si e no ne vale la metà. Non credo che tornerò in BMW per un qualsiasi altro intervento al di fuori dei"
No,No,Si,10,Si,10,10,No,10,Si,I primi dieci giorni che la mia auto era in officina non ho avuto nessuna notizia né risposta ai miei solleciti. Come è rientrato *** il servizio è cambiato dal giorno alla notte e ho ritrovato la fiducia nella vostra professionalità.
No,No,Si,10,Si,10,10,Si,10,Si,Complimenti al personale per i tempi  rapidi  nell'effettuare il lavoro da me richiesto e la cortesia nel ricevermi e spiegarmi il tutto.
Si,No,No,8,,8,8,Si,8,Si,Non mi avete lavato la macchina
Si,No,No,10,,10,10,Si,10,Si,È andato tutto perfettamente
Si,No,Si,10,Si,10,10,Si,10,Si,"Per le manutenzioni di “tagliando” preferirei avere il servizio “fast line “, che alcune concessionarie attuano. Soprattutto per chi come me non abita in città ma in provincia di Reggio Emilia (Guastalla)."
Si,Si,No,9,,9,9,Si,9,Si,Tutto ok
No,Si,No,10,,10,10,,10,Si,Il sig *** molto gentile
Si,No,No,10,,10,10,Si,10,Si,"Personale molto preparato, gentilissimo e disponibilità assoluta."
Si,No,No,10,,10,9,Si,10,Si,"Estrema professionalità, pazienza, comprensione, attenzione al servizio del consulente (***) nonostante - presumo - fosse a fine turno."
No,No,Si,10,Si,10,10,Si,10,Si,Tutti perfetto In particolare la sig *** del ricevimento
Si,No,No,10,,10,10,Si,10,Si,tutto perfetto
Si,No,No,10,,1,10,Si,10,No,"A causa di un brutto ricevimento  da una ragazza che lavora presso la vostra sede, precisamente una ragazza riccia che lavora di fronte alla scrivania di ***, si è posta in una maniera indicente e maleducata e ha rovinato l’esperienza sicuramente to"
Si,No,No,9,,9,9,No,9,Si,"A *** ti che hanno bmw da più di 20 anni, almeno un regalo al termine della visita, brandizzato bmw"
No,Si,Si,9,No,10,6,Si,6,No,Solo grazie alla disponibilità del Sig. *** della filiale di Castellanza  Accettazione sono riuscita a venire a capo della situazione. La gestione di tutta quanta la situazione è stata spesso confusa e contraddittoria .
Si,No,No,9,,9,9,Si,9,Si,Il costo é un po' troppo alto
No,No,Si,10,Si,10,10,Si,10,Si,Tutti bravi
No,Si,No,1,,1,1,,1,No,Pessimo davvero
No,Si,Si,9,Si,9,8,No,9,No,"Buon giorno, ho valutato con 8 i tempi di attesa perché il primo appuntamento mi è stato fissato con un mese di attesa. Abbreviato poi perché unito al richiamo della casa. Richiesto in agosto quindi anche periodo di ferie, ma si trattava solo di spegnere"
No,Si,No,6,,10,9,,9,No,Non mi è stata data nessuna spiegazione in merito al problema del richiamo. Ad oggi non so se la mia auto avesse o no il problema
No,No,Si,10,Si,10,10,Si,10,Si,No comment
No,No,Si,10,Si,10,10,No,10,Si,Siete veramente professionali ed insuperabili. PS Ottimo anche il caffè. ***
No,Si,No,9,,9,9,,9,Si,Grazie per l'attenzione ricevuta
No,No,Si,1,No,5,5,No,6,No,No comment
No,Si,No,10,,10,10,,10,Si,"Cortesia, disponibilità e professionalità"
No,No,Si,4,No,6,6,Si,2,No,Comunicazione difficile con gli addetti. Mancata comunicazione tempi di lavorazione. Macchina restituita non funzionante dopo aver atteso più di 2 mesi x la riparazione
Si,Si,No,10,,10,10,Si,10,Si,Meglio di così….
Si,No,No,9,,9,9,Si,9,Si,Ottima officina AUTOTORINO di Parma. Unico appunto i prezzi dei ricambi sono cari.
Si,No,No,10,,10,10,Si,10,Si,Tutto molto soddisfacente
Si,No,No,10,,10,10,Si,10,Si,Il signor *** è stato gentilissimo e soprattutto preparato e sodisfacante ad ogni mia richiesta complimenti
Si,No,No,9,,9,9,Si,9,No,Manca di  gestione spazio  per raggiungere liberamente officina. È unica ragione per cui non do il 10. Unica nota dolente del concessionario
Si,No,No,10,,10,10,Si,10,Si,"Cosa mi significa la frase :""gli ammortizzatori non sono ancora scoppiati'' nel video  inviato tramite mail relativo all'ispezione effettuata sotto alla vettura? Devo fissare appuntamento per verifica e/o sostituzione?"
Si,No,No,8,,10,10,Si,10,No,"Servizio molto buono, per l’eccellenza sarebbe necessario il lavaggio auto gratuito e la macchina di cortesi gratuita"
Si,No,No,10,,10,10,No,9,Si,nota per chi lavora nella sala di attesa sarebbe bello avere dei posti di lavoro per portatili nella sala di attesa. il resto tutto OK
No,Si,No,10,,9,9,,9,Si,Nessuno
No,No,Si,10,Si,10,10,Si,10,Si,Nessuno
No,No,Si,10,Si,10,10,Si,10,Si,Ragazzi dinamici  competenti
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
Si,No,No,10,,10,10,Si,10,Si,Personale sempre a disposizione. Gentilissimi. Grazie.
Si,No,No,10,,10,10,No,10,Si,"Tutto ok, servizio clienti gentili e disponibili"
No,Si,No,9,,9,10,,10,Si,Si ringrazia x la gentilezza e la professionalità dimostrata
Si,No,No,10,,10,10,Si,10,Si,Nulla da segnalare tutto perfetto.
Si,No,No,1,,1,9,Si,1,No,"Fatturate in anticipo 2 ore di lavoro ,consegnando l autovettura dopo. 1 ora come da vostra e-mail di ritiro.al momento del pagamento della fattura , mi sono trovato a dover pagare 2 ore invece della  sola ora effetiva. Consegnata auto alle 9.40 vostra ma"
No,Si,No,9,,10,9,,9,Si,Attesa lunga in accoglienza
Si,No,No,8,,10,9,No,5,No,Sostituzione pastiglie freni troppo cara nonostante lo sconto  tenendo conto che ho appena firmato un contratto per il cambio d'auto con una x1 plug in
No,Si,No,9,,9,9,,9,Si,Personale gentile ed esaustivo n4lle domande richieste
No,No,Si,9,Si,9,9,Si,9,No,No perchè sono rimasto molto deluso del fatto che una Toyota dopo 140.000 km abbia un problema al piantone dello sterzo con un costo di riparazione di oltre 4.ooo€ nulla contro Autotorino ovviamente
Si,No,No,9,,9,9,Si,9,Si,*** è stato gentilissimo.
Si,No,No,10,,10,10,Si,10,Si,Lavoro eseguito a regola d arte . *** è sempre molto gentile e disponibile! Grazie per il servizio.
